Protein Identifier,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,VS111,VS211,VS311,VS411,VS511,VS611,VS711,VS121,VS221,VS321,VS421,VS521,VS621,VS721,VS131,VS231,VS331,VS431,VS531,VS631,VS731,VS141,VS241,VS341,VS441,VS541,VS641,VS741,VS151,VS251,VS351,VS451,VS551,VS651,VS751,VS161,VS261,VS361,VS461,VS561,VS661,VS761,VS171,VS271,VS371,VS471,VS571,VS671,VS771,VS112,VS212,VS312,VS412,VS512,VS612,VS712,VS122,VS222,VS322,VS422,VS522,VS622,VS722,VS132,VS232,VS332,VS432,VS532,VS632,VS732,VS142,VS242,VS342,VS442,VS542,VS642,VS742,VS152,VS252,VS352,VS452,VS552,VS652,VS752,VS162,VS262,VS362,VS462,VS562,VS662,VS762,VS172,VS272,VS372,VS472,VS572,VS672,VS772,VS113,VS213,VS313,VS413,VS513,VS613,VS713,VS123,VS223,VS323,VS423,VS523,VS623,VS723,VS133,VS233,VS333,VS433,VS533,VS633,VS733,VS143,VS243,VS343,VS443,VS543,VS643,VS743,VS153,VS253,VS353,VS453,VS553,VS653,VS753,VS163,VS263,VS363,VS463,VS563,VS663,VS763,VS173,VS273,VS373,VS473,VS573,VS673,VS773,VS114,VS214,VS314,VS414,VS514,VS614,VS714,VS124,VS224,VS324,VS424,VS524,VS624,VS724,VS134,VS234,VS334,VS434,VS534,VS634,VS734,VS144,VS244,VS344,VS444,VS544,VS644,VS744,VS154,VS254,VS354,VS454,VS554,VS654,VS754,VS164,VS264,VS364,VS464,VS564,VS664,VS764,VS174,VS274,VS374,VS474,VS574,VS674,VS774,VS115,VS215,VS315,VS415,VS515,VS615,VS715,VS125,VS225,VS325,VS425,VS525,VS625,VS725,VS135,VS235,VS335,VS435,VS535,VS635,VS735,VS145,VS245,VS345,VS445,VS545,VS645,VS745,VS155,VS255,VS355,VS455,VS555,VS655,VS755,VS165,VS265,VS365,VS465,VS565,VS665,VS765,VS175,VS275,VS375,VS475,VS575,VS675,VS775,VS116,VS216,VS316,VS416,VS516,VS616,VS716,VS126,VS226,VS326,VS426,VS526,VS626,VS726,VS136,VS236,VS336,VS436,VS536,VS636,VS736,VS146,VS246,VS346,VS446,VS546,VS646,VS746,VS156,VS256,VS356,VS456,VS556,VS656,VS756,VS166,VS266,VS366,VS466,VS566,VS666,VS766,VS176,VS276,VS376,VS476,VS576,VS676,VS776,VS117,VS217,VS317,VS417,VS517,VS617,VS717,VS127,VS227,VS327,VS427,VS527,VS627,VS727,VS137,VS237,VS337,VS437,VS537,VS637,VS737,VS147,VS247,VS347,VS447,VS547,VS647,VS747,VS157,VS257,VS357,VS457,VS557,VS657,VS757,VS167,VS267,VS367,VS467,VS567,VS667,VS767,VS177,VS277,VS377,VS477,VS577,VS677,VS777,PSSM_A,PSSM_R,PSSM_N,PSSM_D,PSSM_C,PSSM_Q,PSSM_E,PSSM_G,PSSM_H,PSSM_I,PSSM_L,PSSM_K,PSSM_M,PSSM_F,PSSM_P,PSSM_S,PSSM_T,PSSM_W,PSSM_Y,PSSM_V
Q96F45,0.12848297213622292,0.020123839009287926,0.01238390092879257,0.034055727554179564,0.020123839009287926,0.017027863777089782,0.01393188854489164,0.16718266253869968,0.034055727554179564,0.01393188854489164,0.08513931888544891,0.04489164086687306,0.01238390092879257,0.01393188854489164,0.12074303405572756,0.14241486068111456,0.04953560371517028,0.0030959752321981426,0.030959752321981424,0.03560371517027864,67,17,8,4,0,3,2,14,7,12,3,5,4,0,12,12,12,3,5,0,0,3,3,1,2,1,0,0,2,2,0,0,0,0,0,2,3,1,0,0,0,0,0,0,2,1,0,1,0,10,6,17,2,3,0,0,5,8,9,7,3,3,0,16,7,8,0,4,1,1,3,4,6,1,0,0,1,2,2,6,2,1,1,0,1,3,2,2,2,1,0,0,0,1,0,0,0,0,16,15,11,1,1,0,1,10,10,11,1,5,3,1,9,14,9,3,2,0,0,5,0,1,0,1,0,1,1,6,3,0,1,2,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,3,5,4,1,0,1,1,1,6,2,0,0,0,0,3,2,1,1,2,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,1,1,0,2,0,5,3,2,1,0,0,0,0,2,6,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,3,0,0,2,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,2,1,0,2,1,1,0,3,2,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.42170542635658914,-0.7131782945736435,-0.8217054263565892,-1.331782945736434,-2.2713178294573644,0.06821705426356589,-0.9193798449612403,-0.22635658914728682,-0.8573643410852713,-1.863565891472868,-1.5565891472868216,-0.7813953488372093,-1.2248062015503876,-2.0930232558139537,2.5534883720930233,1.062015503875969,0.3612403100775194,-2.7689922480620157,-1.3906976744186046,-1.1565891472868217
Q96FV9,0.0441400304414003,0.045662100456621,0.0669710806697108,0.0517503805175038,0.0197869101978691,0.0426179604261796,0.1126331811263318,0.0410958904109589,0.0121765601217656,0.0426179604261796,0.1095890410958904,0.0730593607305936,0.0228310502283105,0.0471841704718417,0.0471841704718417,0.0730593607305936,0.0639269406392694,0.015220700152207,0.0258751902587519,0.0426179604261796,1,3,2,1,1,1,0,5,7,5,1,3,1,0,2,1,1,5,7,1,1,2,1,2,0,1,5,0,1,2,2,1,0,0,0,1,4,3,3,1,5,0,0,1,0,0,0,0,0,1,4,7,4,3,8,0,4,13,9,8,7,5,1,2,7,4,7,3,5,2,0,7,4,2,5,4,0,4,3,5,2,3,4,0,1,0,3,1,1,6,0,1,1,0,0,0,1,0,2,2,2,4,0,1,0,5,9,5,3,6,1,1,1,4,0,1,5,2,0,0,6,4,4,2,5,0,1,7,5,3,3,2,1,2,3,3,5,1,3,2,0,1,1,1,1,0,0,3,3,2,0,1,0,0,4,6,3,2,3,1,0,2,4,1,4,2,4,0,2,3,2,2,0,2,0,2,2,0,3,1,1,0,5,8,2,3,2,3,1,0,0,1,0,0,0,0,1,6,0,1,1,2,1,4,5,2,3,1,3,0,1,7,3,0,2,5,0,3,1,3,2,0,0,0,2,3,3,0,2,1,0,2,0,3,1,2,1,0,1,0,0,0,0,0,0,1,4,5,1,0,3,0,3,7,6,4,1,1,1,3,7,3,3,2,2,1,1,1,2,1,1,7,1,2,1,3,0,1,1,0,3,6,7,1,1,7,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.5015243902439024,-0.5396341463414634,-0.6189024390243902,-0.6996951219512195,-1.8125,-0.1402439024390244,-0.10213414634146341,-1.5365853658536586,-0.9253048780487805,-1.0960365853658536,-0.9039634146341463,-0.3429878048780488,-0.6951219512195121,-1.454268292682927,-1.1798780487804879,-0.21189024390243902,-0.3490853658536585,-2.1875,-1.1935975609756098,-0.9984756097560976
Q96GD4,0.06395348837209303,0.0755813953488372,0.03488372093023256,0.03488372093023256,0.014534883720930232,0.0377906976744186,0.07267441860465117,0.055232558139534885,0.0377906976744186,0.05232558139534884,0.11627906976744186,0.06395348837209303,0.02616279069767442,0.029069767441860465,0.07267441860465117,0.06395348837209303,0.0377906976744186,0.011627906976744186,0.0377906976744186,0.061046511627906974,0,3,3,0,0,1,0,2,6,1,0,3,4,1,2,6,1,3,1,2,0,3,2,1,0,0,0,1,3,3,0,2,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3,2,6,1,4,1,0,2,6,3,4,4,3,0,5,3,2,1,0,2,1,4,2,2,3,1,1,0,2,4,1,0,2,1,0,5,3,1,1,4,2,0,0,0,0,1,0,0,0,0,2,3,2,1,0,1,6,3,3,4,2,1,0,0,3,0,2,1,1,0,2,1,1,0,1,2,0,1,1,1,2,2,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,2,4,3,2,1,0,0,2,1,1,3,0,3,0,1,1,0,0,4,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,4,1,2,1,1,0,4,3,1,1,0,3,0,0,3,2,1,0,0,0,2,3,0,0,0,1,0,1,3,2,0,2,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,3,5,1,1,2,0,1,3,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6443148688046647,-1.8104956268221575,-2.0962099125364433,-2.2886297376093294,-2.3527696793002915,-1.7026239067055393,-1.772594752186589,-2.938775510204082,-1.9096209912536444,-1.9504373177842567,-1.845481049562682,-1.4314868804664722,-1.6501457725947521,-2.521865889212828,-2.4402332361516037,-1.282798833819242,-1.641399416909621,-4.026239067055394,-2.4198250728862973,-1.784256559766764
Q96GF1,0.07291666666666667,0.052083333333333336,0.036458333333333336,0.041666666666666664,0.036458333333333336,0.057291666666666664,0.041666666666666664,0.13541666666666666,0.010416666666666666,0.046875,0.0625,0.026041666666666668,0.015625,0.078125,0.09895833333333333,0.08333333333333333,0.036458333333333336,0.015625,0.010416666666666666,0.041666666666666664,2,3,2,1,2,2,0,5,5,1,0,0,0,1,2,3,2,1,0,2,0,0,2,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,8,4,1,1,2,0,0,3,6,1,3,2,0,0,2,2,2,0,1,0,0,1,2,0,1,0,1,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,2,4,0,1,0,0,5,2,0,0,0,0,0,2,0,0,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,2,1,2,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8481675392670157,-0.581151832460733,-1.1884816753926701,-1.162303664921466,-0.3507853403141361,-0.5916230366492147,-0.43455497382198954,-1.806282722513089,-1.12565445026178,-1.544502617801047,-1.0052356020942408,-0.774869109947644,-1.036649214659686,-1.706806282722513,-0.8534031413612565,-0.1256544502617801,-0.7120418848167539,-3.089005235602094,-1.942408376963351,-1.1727748691099475
Q96GM8,0.09019607843137255,0.058823529411764705,0.0392156862745098,0.054901960784313725,0.029411764705882353,0.049019607843137254,0.06470588235294118,0.06666666666666667,0.03137254901960784,0.03333333333333333,0.08431372549019608,0.056862745098039215,0.01764705882352941,0.0392156862745098,0.06470588235294118,0.0803921568627451,0.043137254901960784,0.00784313725490196,0.03333333333333333,0.054901960784313725,6,6,3,1,5,4,0,6,6,3,2,1,3,0,5,6,4,2,3,3,0,3,1,3,2,2,1,1,1,2,2,4,1,3,0,4,1,2,1,1,2,0,1,0,0,0,0,0,0,3,6,6,6,1,4,0,6,5,6,5,1,2,2,4,4,3,1,3,3,0,3,8,2,2,2,2,0,2,1,1,1,1,0,0,2,6,1,2,0,1,0,1,0,0,3,0,0,1,5,4,4,2,2,1,0,2,4,3,7,1,1,0,3,3,3,2,2,0,1,1,2,3,1,0,1,1,3,2,4,1,1,1,0,3,5,1,0,1,4,1,0,2,0,0,0,0,0,1,1,5,1,2,1,0,7,4,2,1,1,1,1,4,3,0,3,1,2,0,1,4,2,2,0,0,1,1,0,2,1,2,0,0,1,0,1,0,2,0,1,1,1,0,0,0,1,0,3,0,2,2,1,1,0,3,2,1,1,0,1,1,1,1,2,1,3,3,0,1,1,2,2,1,0,0,1,3,0,0,8,3,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,6,3,4,0,2,0,1,2,5,2,2,2,2,1,1,1,1,0,0,4,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,4,2,3,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.5245579567779961,-0.7760314341846758,-0.730844793713163,-0.9214145383104125,-1.7740667976424362,-0.4263261296660118,-0.48330058939096265,-1.3398821218074657,-0.9862475442043221,-1.3477406679764243,-1.269155206286837,-0.550098231827112,-0.8722986247544204,-1.4715127701375246,-1.2514734774066798,-0.19842829076620824,-0.518664047151277,-2.3909626719056973,-1.237721021611002,-1.1080550098231827
Q96HA1,0.1257005604483587,0.05284227381905524,0.021617293835068056,0.017614091273018415,0.006405124099279423,0.03522818254603683,0.02722177742193755,0.08006405124099279,0.012810248198558846,0.020016012810248198,0.07125700560448359,0.03763010408326661,0.008006405124099279,0.0488390712570056,0.13851080864691753,0.1521216973578863,0.09687750200160128,0.004803843074459567,0.008807045636509208,0.03362690152121697,25,30,14,2,4,1,1,29,26,28,6,10,1,1,21,11,26,9,3,4,0,3,6,2,6,2,0,0,3,3,2,1,7,1,0,1,3,2,0,2,0,0,1,1,0,0,0,1,0,23,31,25,7,3,3,0,22,29,32,9,7,2,0,13,37,29,5,9,2,1,5,7,6,1,0,4,0,5,3,5,2,6,2,0,2,5,0,1,1,2,0,0,1,1,0,0,0,0,18,26,24,5,3,0,1,25,27,21,4,3,1,0,32,23,46,8,2,2,0,5,4,11,4,3,0,0,2,6,5,0,5,1,0,2,3,4,1,2,0,0,1,0,0,0,0,0,0,4,4,4,2,2,3,0,6,6,5,4,2,0,0,5,6,5,3,2,1,0,3,3,1,0,2,0,2,3,3,1,0,4,0,0,1,1,0,1,0,2,0,1,1,0,0,0,0,0,2,9,3,1,3,1,1,5,6,8,0,1,3,0,4,4,3,2,1,3,0,1,3,2,0,3,1,0,5,4,3,7,9,4,0,3,3,1,0,3,1,0,0,0,0,0,0,0,0,5,1,2,2,1,0,0,5,6,2,0,0,2,1,2,0,4,0,2,0,0,2,0,0,0,1,0,0,2,4,1,0,0,3,0,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3173076923076923,-0.6466346153846154,-1.1570512820512822,-1.439102564102564,-2.4663461538461537,0.30128205128205127,-0.6498397435897436,0.16506410256410256,-0.5793269230769231,-1.8044871794871795,-1.3790064102564104,-0.9791666666666666,-1.1057692307692308,-1.9599358974358974,2.717948717948718,1.3461538461538463,1.0400641025641026,-2.954326923076923,-1.8317307692307692,-0.8325320512820513
Q96JJ7,0.046255506607929514,0.04185022026431718,0.03524229074889868,0.07268722466960352,0.013215859030837005,0.037444933920704845,0.08590308370044053,0.06387665198237885,0.015418502202643172,0.05947136563876652,0.08590308370044053,0.06387665198237885,0.028634361233480177,0.05066079295154185,0.03524229074889868,0.06828193832599119,0.04405286343612335,0.013215859030837005,0.048458149779735685,0.09030837004405286,3,5,8,1,1,5,0,3,4,7,2,2,4,0,5,6,3,1,0,4,1,1,0,0,0,1,0,0,2,1,1,2,0,0,1,1,3,5,2,1,2,0,0,1,0,1,0,0,0,10,3,4,0,3,2,0,4,5,8,2,2,4,1,5,2,5,4,3,5,0,1,2,1,1,1,1,0,1,3,1,1,2,1,0,3,2,3,2,2,4,0,1,0,0,0,0,0,0,3,8,2,0,2,3,1,4,5,2,0,0,4,0,2,3,4,2,2,1,0,1,2,2,3,1,2,0,2,3,2,1,0,2,0,4,3,0,1,2,5,0,0,0,1,0,0,0,0,1,2,2,0,0,2,1,2,5,1,1,1,2,0,1,1,2,1,1,0,0,0,3,2,1,0,2,0,0,1,0,1,1,2,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,3,4,3,1,2,1,0,1,0,0,2,1,3,0,2,3,1,0,1,1,0,0,1,0,1,1,1,1,0,2,0,0,2,2,0,1,0,0,1,0,0,0,2,3,3,1,1,1,0,6,3,3,1,1,1,0,5,2,0,1,3,2,0,2,1,0,3,1,1,0,1,5,3,2,1,0,0,2,4,4,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.565121412803532,-1.2251655629139073,-0.9183222958057395,-0.7505518763796909,-2.4304635761589406,-0.8145695364238411,-0.2913907284768212,-1.6666666666666667,-1.2516556291390728,-1.0485651214128036,-1.055187637969095,-0.2737306843267108,-1.2626931567328918,-1.0,-1.2825607064017661,-0.5629139072847682,-0.6887417218543046,-2.5452538631346577,-1.1898454746136866,-0.6865342163355408
Q96L91,0.100664767331434,0.051915163026274136,0.022792022792022793,0.02849002849002849,0.007913896802785692,0.10794555238999684,0.05571383349161127,0.056346945235834126,0.019626464070908515,0.037037037037037035,0.08990186767964546,0.04779993668882558,0.017094017094017096,0.022475466919911365,0.10667932890155113,0.07597340930674264,0.06109528331750554,0.0072807850585628366,0.016144349477682812,0.06710984488762267,58,42,34,27,15,14,0,41,32,40,34,16,10,4,39,23,31,13,8,7,0,24,29,14,20,4,9,0,13,17,5,12,8,3,0,9,10,9,9,9,13,0,0,2,0,0,1,0,0,50,37,26,26,15,11,2,41,63,31,33,28,14,0,32,36,24,23,12,14,0,31,36,30,21,9,9,1,23,22,14,14,11,5,1,13,12,8,8,9,5,0,2,1,1,2,1,2,0,30,31,28,19,10,7,0,31,34,28,24,14,13,2,27,38,25,9,6,5,1,25,26,9,7,4,3,0,9,12,6,7,3,5,0,4,11,5,7,3,6,0,0,1,1,0,1,0,0,30,32,18,21,7,6,0,28,35,20,29,8,6,1,13,22,19,16,5,6,1,20,17,12,37,9,3,1,4,12,3,6,10,4,1,3,10,8,3,2,5,0,1,2,1,0,0,0,0,15,23,10,4,7,10,0,18,28,5,10,13,7,1,7,15,4,6,5,1,1,5,11,11,9,7,3,0,9,10,9,3,9,7,0,4,5,2,4,6,6,1,0,1,0,1,2,0,0,7,11,5,2,3,11,1,7,15,15,7,9,5,1,6,12,8,6,5,3,0,9,8,7,5,4,3,1,10,8,2,3,5,4,1,7,10,8,6,4,19,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,3,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,3,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.21215959468017734,-0.46136795440151995,-0.720392653578214,-0.9141861937935403,-2.2197593413552883,0.513299556681444,-0.2051931602279924,-1.0376820772640911,-0.5034832172260925,-1.2321089297023433,-0.9996833438885371,-0.357188093730209,-0.6348955034832172,-1.6890436985433819,0.8476884103863205,0.3036732108929702,-0.014566181127295756,-2.597213426219126,-1.4122862571247625,-0.8562381253958201
Q96P70,0.0989433237271854,0.0345821325648415,0.029779058597502402,0.04899135446685879,0.01633045148895293,0.06051873198847262,0.0845341018251681,0.04226705091258405,0.022094140249759846,0.06051873198847262,0.10951008645533142,0.0393852065321806,0.029779058597502402,0.0393852065321806,0.04514889529298751,0.06243996157540826,0.06051873198847262,0.01536983669548511,0.022094140249759846,0.07780979827089338,15,13,10,8,5,0,0,14,12,8,8,4,6,1,14,14,6,5,1,4,1,5,8,6,4,2,3,2,7,7,4,0,2,2,0,2,6,7,3,2,3,0,0,1,1,1,0,0,0,7,11,10,12,9,10,0,14,20,8,14,8,12,1,6,6,3,5,0,6,4,7,8,8,6,4,7,1,7,2,6,1,1,2,1,6,10,5,5,4,5,0,0,2,0,0,0,1,0,11,8,9,6,3,3,1,6,20,9,4,2,7,0,7,9,3,2,4,4,0,6,3,3,1,5,4,1,2,6,5,0,0,0,0,4,3,8,3,1,3,0,2,2,0,1,0,0,0,9,9,3,1,1,3,2,9,7,1,4,3,5,0,3,7,5,3,1,6,0,6,4,4,2,1,1,0,5,3,3,0,0,1,0,4,4,1,2,0,5,1,1,3,0,0,0,0,0,6,3,8,1,3,2,0,9,6,0,3,2,2,1,3,4,3,4,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,2,1,0,1,0,0,1,0,0,0,0,0,3,8,6,2,1,3,0,4,9,2,7,0,3,0,7,8,8,4,3,1,0,3,6,4,3,0,2,0,1,5,1,0,0,0,0,5,0,8,4,0,17,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,3,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3765609990393852,-1.1037463976945245,-1.0518731988472623,-1.2209414024975984,-1.7137367915465898,-0.5196926032660903,-0.6071085494716618,-1.756003842459174,-1.3160422670509127,-0.9087415946205571,-0.8357348703170029,-0.792507204610951,-0.4803073967339097,-1.4591738712776177,-1.4562920268972142,-0.37367915465898177,-0.44668587896253603,-2.269932756964457,-1.2526416906820366,-0.6090297790585975
Q96PK6,0.19581464872944693,0.061285500747384154,0.025411061285500747,0.028400597907324365,0.004484304932735426,0.07473841554559044,0.02391629297458894,0.09118086696562033,0.01046337817638266,0.008968609865470852,0.05530642750373692,0.028400597907324365,0.01943198804185351,0.02242152466367713,0.06726457399103139,0.13153961136023917,0.04035874439461883,0.0014947683109118087,0.07025411061285501,0.03886397608370702,21,14,27,10,4,3,1,7,5,9,8,3,1,0,11,14,18,6,1,3,0,13,4,4,2,0,1,0,5,4,6,0,3,0,0,2,3,1,0,2,0,1,0,0,1,0,0,0,0,8,4,5,1,4,1,0,3,3,6,0,4,0,0,8,3,9,0,4,1,0,13,0,5,2,2,0,0,0,2,3,1,5,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,23,7,16,5,2,0,0,8,2,4,11,2,3,0,27,6,7,5,2,2,1,11,3,4,0,0,0,0,1,1,3,0,4,3,0,3,2,3,1,1,0,0,1,0,0,0,0,0,0,22,5,3,4,6,2,0,1,1,1,3,1,0,0,2,0,8,4,2,2,0,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,1,3,2,0,1,2,0,3,4,6,1,2,2,0,1,0,2,0,0,0,0,1,2,5,2,0,2,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,3,1,1,2,0,1,0,3,2,3,0,0,0,0,2,3,1,2,0,0,0,1,0,2,0,0,0,0,3,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.04341317365269461,-0.5,-0.5898203592814372,-1.276946107784431,-2.2035928143712575,0.39820359281437123,-0.9281437125748503,-0.1751497005988024,-0.49700598802395207,-1.624251497005988,-1.6182634730538923,-0.9520958083832335,-0.35778443113772457,-1.5134730538922156,1.1991017964071857,0.25299401197604793,-0.39520958083832336,-2.502994011976048,-0.344311377245509,-1.1691616766467066
Q96PM9,0.09585492227979274,0.05699481865284974,0.02849740932642487,0.015544041450777202,0.015544041450777202,0.03626943005181347,0.054404145077720206,0.10362694300518134,0.031088082901554404,0.038860103626943004,0.10621761658031088,0.06217616580310881,0.012953367875647668,0.018134715025906734,0.14507772020725387,0.07772020725388601,0.046632124352331605,0.0,0.012953367875647668,0.04145077720207254,12,7,1,1,4,4,0,8,4,5,2,4,6,0,1,0,0,0,2,1,0,2,1,2,0,1,1,1,2,1,5,2,1,1,1,3,4,1,0,1,0,0,0,0,1,0,0,0,0,6,12,1,3,1,1,1,11,17,7,5,1,1,0,8,8,1,2,3,0,0,1,2,3,1,3,0,2,1,4,0,0,2,0,0,3,2,1,0,3,0,1,0,0,0,0,0,0,0,6,6,0,0,2,0,0,3,10,7,1,0,0,0,2,1,2,1,0,0,0,3,1,3,0,0,0,0,2,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,3,0,0,2,1,0,2,0,0,0,6,0,2,0,0,0,1,0,0,0,1,0,0,0,3,2,1,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0,2,3,1,0,1,5,2,2,0,1,0,3,3,1,1,3,0,0,2,0,0,1,3,0,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,2,1,0,0,1,4,1,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6987012987012987,-0.6155844155844156,-1.044155844155844,-1.6545454545454545,-0.9142857142857143,-0.17922077922077922,-0.4961038961038961,-1.3220779220779222,0.2025974025974026,-1.7766233766233765,-1.4857142857142858,-0.1012987012987013,-1.3558441558441559,-1.6545454545454545,-0.3064935064935065,0.15844155844155844,-0.3064935064935065,-3.3532467532467534,-1.5506493506493506,-1.5220779220779221
